,time,1105,1520,1827,2852,4534,5851,7139,7883,8202,8371,8853,8941,9054,9077,9511,9641,11001,11429,11447,11485,11741,11939,11988,12038,12299,12327,13019,14340,15045,15741,16318,18536,19016,19113,19672,19684,20824,21242,21297,22208,22877,25055,25472,25865,26126,27035,27323,28310,29696,30481,31123,33108,33329,33487,33871,34041,34079,34304,34700,35881,36112,36345,36751,37096,38111,38880,38896,39534,39582,39615,40395,40527,41540,41587,41919,42012,42028,42049,42300,42897,44827,45178,45183,45266,46358,47359,47520,48638,48738,48921,49000,49139,50510,50531,50646,51380,51869,52327,53045
49,2022-08-16,,,,0.25,,,,,,,,,,,,,0.76,,,,,,,,,,,0.9,,,,,,,,,,0.4,0.92,,,,1.37,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2022-08-18,0.56,0.15,0.46,,0.17,0.09,1.68,,1.36,0.41,,0.19,0.19,1.23,0.19,0.47,,,,,0.52,,0.3,,,,0.25,,,0.54,0.22,0.28,0.64,0.46,0.07,6.65,,,,,0.49,,,0.19,0.0,0.15,0.4,,,1.58,,0.0,0.43,0.04,0.62,,0.62,0.7,0.42,,1.17,0.49,0.08,0.7,,,0.04,0.06,,0.36,0.38,,1.04,,0.02,0.19,0.99,0.9,1.18,0.29,1.26,1.57,0.22,0.61,0.0,0.36,,0.12,4.2,,0.2,0.71,1.57,0.0,0.43,0.9,,0.93,0.27
51,2022-08-21,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2022-08-26,,,,1.4,,,,,,,,,,,,,2.83,,,,,,,,,,,2.14,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2022-08-28,,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2022-08-30,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2022-09-02,1.1,0.31,0.66,,,,,,3.62,0.36,0.91,,1.01,0.53,,0.33,,4.55,0.0,0.14,1.01,0.59,0.56,,2.23,,0.77,,,0.62,,,,,0.5,7.0,,,,,,,,0.19,0.0,2.3,,0.0,2.93,0.0,0.01,,0.95,,1.06,0.19,,,,0.26,,,0.08,,,1.13,0.04,,,0.0,,,,,,0.55,1.72,,1.32,0.57,0.54,2.3,,1.74,,1.2,,0.14,4.72,4.59,0.5,4.78,,0.0,,2.77,0.26,1.44,1.31
56,2022-09-05,,,,2.43,,,,,,,,,,,,,2.45,,,,,,,,,,,1.96,,,,,,,,,,4.47,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,2.13,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2022-09-07,1.41,0.53,,,0.18,0.1,6.12,0.29,5.6,0.22,0.62,0.43,,0.1,2.96,0.58,,2.82,0.09,1.17,0.61,0.65,,0.63,1.39,0.03,0.81,,0.1,0.74,0.15,0.66,1.64,0.53,0.63,7.0,0.02,,,0.31,0.26,1.58,,0.2,0.07,2.41,1.38,0.44,0.59,0.01,0.57,4.38,0.93,0.6,1.4,0.46,1.44,0.43,0.12,0.15,7.0,2.37,,0.2,,0.67,0.11,0.0,2.03,0.14,0.34,,0.0,0.22,,0.48,0.46,0.71,1.15,,0.72,1.91,0.08,0.72,0.28,1.53,0.86,0.13,4.72,5.43,0.77,5.25,2.03,0.0,0.68,2.5,0.67,2.04,0.41
58,2022-09-12,,,,,,,,,,0.15,,,1.81,,4.72,,,5.25,,,,,,,5.43,0.0,,,,,,,3.33,,1.67,7.0,,,,0.42,,,,,,,,,,,0.46,6.65,,,,1.29,,,0.34,,,3.33,0.7,,,0.3,,0.77,,,,,,0.32,,,,,2.61,,,2.82,,1.08,,,,0.31,6.65,7.0,1.51,,4.38,0.77,,0.06,0.81,,
59,2022-09-22,,,,,,,,0.17,,,,,,,5.25,,,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,4.72,,,0.97,,0.14,,,,,,,0.3,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,1.15,0.86,,,,,,,0.03,,,,,2.5
